"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"309","Labcorp Holdings",309,"$13668.2MM","$418MM",61975,"Health Care","Burlington","North Carolina","no","no","yes","$18372.5MM","https://www.labcorp.com","LH","$16725.1MM"
"310","Principal Financial",310,"$13665.8MM","$623.2MM",19800,"Financials","Des Moines","Iowa","no","no","yes","$20357.8MM","https://www.principal.com","PFG","$305046.7MM"
"311","Regeneron Pharmaceuticals",311,"$13117.2MM","$3953.6MM",13450,"Health Care","Tarrytown","New York","yes","no","yes","$105644.7MM","https://www.regeneron.com","REGN","$33080.2MM"
"312","Raymond James Financial",312,"$12992MM","$1739MM",18000,"Financials","St. Petersburg","Florida","no","no","yes","$26843.3MM","https://www.raymondjames.com","RJF","$78360MM"
"313","Dick's Sporting Goods",313,"$12984.4MM","$1046.5MM",37200,"Retailing","Coraopolis","Pennsylvania","no","yes","yes","$18539.3MM","https://www.dickssportinggoods.com","DKS","$9311.8MM"
"314","Auto-Owners Insurance",314,"$12937.7MM","$-912.4MM",6946,"Financials","Lansing","Michigan","no","no","no","$NAMM","https://www.auto-owners.com","","$36238.2MM"
"315","Expedia Group",315,"$12839MM","$797MM",17100,"Retailing","Seattle","Washington","no","yes","yes","$18773.7MM","https://www.expediagroup.com","EXPE","$21642MM"
"316","J.B. Hunt Transport Services",316,"$12829.7MM","$728.3MM",34718,"Transportation","Lowell","Arkansas","no","no","yes","$20582.2MM","https://www.jbhunt.com","JBHT","$8538.3MM"
"317","M&T Bank",317,"$12752MM","$2741MM",21980,"Financials","Buffalo","New York","no","no","yes","$24233.4MM","https://www.mtb.com","MTB","$208264MM"
"318","DTE Energy",318,"$12745MM","$1397MM",9950,"Energy","Detroit","Michigan","no","no","yes","$23204.6MM","https://www.dteenergy.com","DTE","$44755MM"
"319","AES",319,"$12668MM","$249MM",9600,"Energy","Arlington","Virginia","no","no","yes","$12744.8MM","https://www.aes.com","AES","$44799MM"
"320","Berry Global Group",320,"$12664MM","$609MM",44000,"Materials","Evansville","Indiana","no","no","yes","$7009.6MM","https://www.berryglobal.com","BERY","$16587MM"
"321","Fifth Third Bancorp",321,"$12641MM","$2349MM",18724,"Financials","Cincinnati","Ohio","no","no","yes","$25434.9MM","https://www.53.com","FITB","$214574MM"
"322","Air Products & Chemicals",322,"$12600MM","$2300.2MM",21850,"Chemicals","Allentown","Pennsylvania","no","no","yes","$53856.9MM","https://www.airproducts.com","APD","$32002.5MM"
"323","Corning",323,"$12588MM","$581MM",49800,"Industrials","Corning","New York","no","no","yes","$28192.4MM","https://www.corning.com","GLW","$28500MM"
"324","EMCOR Group",324,"$12582.9MM","$633MM",38300,"Engineering & Construction","Norwalk","Connecticut","no","no","yes","$16482.1MM","https://www.emcorgroup.com","EME","$6609.7MM"
"325","Amphenol",325,"$12554.7MM","$1928MM",95000,"Technology","Wallingford","Connecticut","no","no","yes","$69193.3MM","https://www.amphenol.com","APH","$16526.4MM"
"326","Westlake",326,"$12548MM","$479MM",15520,"Chemicals","Houston","Texas","no","no","yes","$19636.5MM","https://www.westlake.com","WLK","$21035MM"
"327","DuPont",327,"$12528MM","$423MM",24000,"Chemicals","Wilmington","Delaware","no","no","yes","$32016.1MM","https://www.dupont.com","DD","$38552MM"
