"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"1","Walmart",1,"$648125MM","$15511MM",2100000,"Retailing","Bentonville","Arkansas","no","no","yes","$484852.8MM","https://www.stock.walmart.com","WMT","$252399MM"
"2","Amazon",2,"$574785MM","$30425MM",1525000,"Retailing","Seattle","Washington","no","no","yes","$1873675.8MM","https://www.amazon.com","AMZN","$527854MM"
"3","Apple",3,"$383285MM","$96995MM",161000,"Technology","Cupertino","California","no","no","yes","$2647973.8MM","https://www.apple.com","AAPL","$352583MM"
"4","UnitedHealth Group",4,"$371622MM","$22381MM",440000,"Health Care","Minnetonka","Minnesota","no","no","yes","$456080.8MM","https://www.unitedhealthgroup.com","UNH","$273720MM"
"5","Berkshire Hathaway",5,"$364482MM","$96223MM",396500,"Financials","Omaha","Nebraska","no","no","yes","$908919.7MM","https://www.berkshirehathaway.com","BRKA","$1069978MM"
"6","CVS Health",6,"$357776MM","$8344MM",259500,"Health Care","Woonsocket","Rhode Island","no","yes","yes","$100373.9MM","https://www.cvshealth.com","CVS","$249728MM"
"7","Exxon Mobil",7,"$344582MM","$36010MM",61500,"Energy","Spring","Texas","no","no","yes","$461222.2MM","https://www.exxonmobil.com","XOM","$376317MM"
"8","Alphabet",8,"$307394MM","$73795MM",182502,"Technology","Mountain View","California","no","no","yes","$1884633MM","https://www.abc.xyz","GOOGL","$402392MM"
"9","McKesson",9,"$276711MM","$3560MM",48000,"Health Care","Irving","Texas","no","no","yes","$70546.5MM","https://www.mckesson.com","MCK","$62320MM"
"10","Cencora",10,"$262173.4MM","$1745.3MM",44000,"Health Care","Conshohocken","Pennsylvania","no","no","yes","$48472.1MM","https://www.cencora.com","COR","$62558.7MM"
"11","Costco Wholesale",11,"$242290MM","$6292MM",316000,"Retailing","Issaquah","Washington","no","no","yes","$324924.4MM","https://www.costco.com","COST","$68994MM"
"12","JPMorgan Chase",12,"$239425MM","$49552MM",309926,"Financials","New York","New York","no","no","yes","$576938.4MM","https://www.jpmorganchase.com","JPM","$3875393MM"
"13","Microsoft",13,"$211915MM","$72361MM",221000,"Technology","Redmond","Washington","no","no","yes","$3126133.1MM","https://www.microsoft.com","MSFT","$411976MM"
"14","Cardinal Health",14,"$205012MM","$261MM",47520,"Health Care","Dublin","Ohio","no","no","yes","$27217.8MM","https://www.cardinalhealth.com","CAH","$43417MM"
"15","Chevron",15,"$200949MM","$21369MM",45600,"Energy","San Ramon","California","no","no","yes","$292965.6MM","https://www.chevron.com","CVX","$261632MM"
"16","Cigna",16,"$195265MM","$5164MM",71413,"Health Care","Bloomfield","Connecticut","no","no","yes","$103017.9MM","https://www.thecignagroup.com","CI","$152761MM"
"17","Ford Motor",17,"$176191MM","$4347MM",177000,"Motor Vehicles & Parts","Dearborn","Michigan","no","no","yes","$53017.8MM","https://www.ford.com","F","$273310MM"
"18","Bank of America",18,"$171912MM","$26515MM",212985,"Financials","Charlotte","North Carolina","no","no","yes","$299213MM","https://www.bankofamerica.com","BAC","$3180151MM"
"19","General Motors",19,"$171842MM","$10127MM",163000,"Motor Vehicles & Parts","Detroit","Michigan","no","yes","yes","$52353.5MM","https://www.gm.com","GM","$273064MM"
"20","Elevance Health",20,"$171340MM","$5987MM",104900,"Health Care","Indianapolis","Indiana","no","yes","yes","$120619.6MM","https://www.elevancehealth.com","ELV","$108928MM"
"21","Citigroup",21,"$156820MM","$9228MM",237925,"Financials","New York","New York","no","yes","yes","$121122.2MM","https://www.citigroup.com","C","$2411834MM"
"22","Centene",22,"$153999MM","$2702MM",67700,"Health Care","St. Louis","Missouri","no","yes","yes","$41979.4MM","https://www.centene.com","CNC","$84641MM"
"23","Home Depot",23,"$152669MM","$15143MM",463100,"Retailing","Atlanta","Georgia","no","no","yes","$380153.7MM","https://www.homedepot.com","HD","$76530MM"
"24","Marathon Petroleum",24,"$150307MM","$9681MM",18200,"Energy","Findlay","Ohio","no","no","yes","$72607.7MM","https://www.marathonpetroleum.com","MPC","$85987MM"
"25","Kroger",25,"$150039MM","$2164MM",414000,"Food & Drug Stores","Cincinnati","Ohio","no","no","yes","$41100.7MM","https://www.thekrogerco.com","KR","$50505MM"
"26","Phillips 66",26,"$149890MM","$7015MM",14000,"Energy","Houston","Texas","no","no","yes","$69880.8MM","https://www.phillips66.com","PSX","$75501MM"
"27","Fannie Mae",27,"$141240MM","$17408MM",8100,"Financials","Washington","District Of Columbia","no","yes","yes","$1818.2MM","https://www.fanniemae.com","FNMA","$4325437MM"
"28","Walgreens Boots Alliance",28,"$139081MM","$-3080MM",268500,"Food & Drug Stores","Deerfield","Illinois","no","no","no","$18712.3MM","https://www.walgreensbootsalliance.com","WBA","$96628MM"
"29","Valero Energy",29,"$139001MM","$8835MM",9897,"Energy","San Antonio","Texas","no","no","yes","$56234.5MM","https://www.valero.com","VLO","$63056MM"
"30","Meta Platforms",30,"$134902MM","$39098MM",67317,"Technology","Menlo Park","California","yes","no","yes","$1237940.1MM","https://investor.fb.com","META","$229623MM"
"31","Verizon Communications",31,"$133974MM","$11614MM",105400,"Telecommunications","New York","New York","no","no","yes","$176651.6MM","https://www.verizon.com","VZ","$380255MM"
"32","AT&T",32,"$122428MM","$14400MM",150470,"Telecommunications","Dallas","Texas","no","no","yes","$125889.1MM","https://www.att.com","T","$407060MM"
"33","Comcast",33,"$121572MM","$15388MM",186000,"Telecommunications","Philadelphia","Pennsylvania","no","no","yes","$172180MM","https://www.comcastcorporation.com","CMCSA","$264811MM"
"34","Wells Fargo",34,"$115340MM","$19142MM",226000,"Financials","San Francisco","California","no","no","yes","$205201.8MM","https://www.wellsfargo.com","WFC","$1932468MM"
"35","Goldman Sachs Group",35,"$108418MM","$8516MM",45300,"Financials","New York","New York","no","no","yes","$135551.7MM","https://www.goldmansachs.com","GS","$1641594MM"
"36","Freddie Mac",36,"$108050MM","$10538MM",8020,"Financials","McLean","Virginia","no","no","yes","$877.6MM","https://www.freddiemac.com","FMCC","$3280976MM"
"37","Target",37,"$107412MM","$4138MM",415000,"Retailing","Minneapolis","Minnesota","no","no","yes","$81816.1MM","https://www.target.com","TGT","$55356MM"
"38","Humana",38,"$106374MM","$2489MM",67600,"Health Care","Louisville","Kentucky","no","no","yes","$41796.7MM","https://www.humana.com","HUM","$47065MM"
"39","State Farm Insurance",39,"$104198.6MM","$-6272.3MM",65054,"Financials","Bloomington","Illinois","no","no","no","$NAMM","https://www.statefarm.com","","$339484.7MM"
"40","Tesla",40,"$96773MM","$14997MM",140473,"Motor Vehicles & Parts","Austin","Texas","yes","no","yes","$559854.3MM","https://www.tesla.com","TSLA","$106618MM"
"41","Morgan Stanley",41,"$96194MM","$9087MM",80006,"Financials","New York","New York","no","no","yes","$153976.9MM","https://www.morganstanley.com","MS","$1193693MM"
"42","Johnson & Johnson",42,"$95195MM","$35153MM",131900,"Health Care","New Brunswick","New Jersey","no","no","yes","$381203.6MM","https://www.jnj.com","JNJ","$167558MM"
"43","Archer Daniels Midland",43,"$93935MM","$3483MM",41008,"Food, Beverages & Tobacco","Chicago","Illinois","no","no","yes","$32023.6MM","https://www.adm.com","ADM","$54631MM"
"44","PepsiCo",44,"$91471MM","$9074MM",318000,"Food, Beverages & Tobacco","Purchase","New York","no","no","yes","$240552.8MM","https://www.pepsico.com","PEP","$100495MM"
"45","United Parcel Service",45,"$90958MM","$6708MM",382550,"Transportation","Atlanta","Georgia","no","yes","yes","$126828.9MM","https://www.ups.com","UPS","$70857MM"
"46","FedEx",46,"$90155MM","$3972MM",446400,"Transportation","Memphis","Tennessee","no","no","yes","$71299.4MM","https://www.fedex.com","FDX","$87143MM"
"47","Walt Disney",47,"$88898MM","$2354MM",199125,"Media","Burbank","California","no","no","yes","$224445.2MM","https://www.thewaltdisneycompany.com","DIS","$205579MM"
"48","Dell Technologies",48,"$88425MM","$3211MM",120000,"Technology","Round Rock","Texas","yes","no","yes","$81450.6MM","https://www.delltechnologies.com/","DELL","$82089MM"
"49","Lowe's",49,"$86377MM","$7726MM",226000,"Retailing","Mooresville","North Carolina","no","no","yes","$145752.5MM","https://www.lowes.com","LOW","$41795MM"
"50","Procter & Gamble",50,"$82006MM","$14653MM",107000,"Household Products","Cincinnati","Ohio","no","no","yes","$381777.7MM","https://www.pginvestor.com","PG","$120829MM"
"51","Energy Transfer",51,"$78586MM","$3935MM",13786,"Energy","Dallas","Texas","no","no","yes","$52974.8MM","https://www.energytransfer.com","ET","$113698MM"
"52","Boeing",52,"$77794MM","$-2222MM",171000,"Aerospace & Defense","Arlington","Virginia","no","no","no","$117750MM","https://www.boeing.com","BA","$137012MM"
"53","Albertsons",53,"$77649.7MM","$1513.5MM",198650,"Food & Drug Stores","Boise","Idaho","no","no","yes","$12350.3MM","https://www.albertsonscompanies.com","ACI","$26168.2MM"
"54","Sysco",54,"$76324.7MM","$1770.1MM",71750,"Wholesalers","Houston","Texas","no","no","yes","$40413.8MM","https://www.sysco.com","SYY","$22821.1MM"
"55","RTX",55,"$68920MM","$3195MM",185000,"Aerospace & Defense","Arlington","Virginia","no","no","yes","$129680.3MM","https://www.rtx.com","RTX","$161869MM"
"56","General Electric",56,"$67954MM","$9481MM",125000,"Industrials","Boston","Massachusetts","no","no","yes","$191901.2MM","https://www.ge.com","GE","$163045MM"
"57","Lockheed Martin",57,"$67571MM","$6920MM",122000,"Aerospace & Defense","Bethesda","Maryland","no","no","yes","$109394.2MM","https://www.lockheedmartin.com","LMT","$52456MM"
"58","American Express",58,"$67364MM","$8374MM",74600,"Financials","New York","New York","no","no","yes","$163945.6MM","https://www.americanexpress.com","AXP","$261108MM"
"59","Caterpillar",59,"$67060MM","$10335MM",113200,"Industrials","Irving","Texas","no","no","yes","$182986.8MM","https://www.caterpillar.com","CAT","$87476MM"
"60","MetLife",60,"$66905MM","$1578MM",45000,"Financials","New York","New York","no","no","yes","$53583MM","https://www.metlife.com","MET","$687584MM"
"61","HCA Healthcare",61,"$64968MM","$5242MM",265000,"Health Care","Nashville","Tennessee","no","no","yes","$88213.8MM","https://www.hcahealthcare.com","HCA","$56211MM"
"62","Progressive",62,"$62108.5MM","$3902.4MM",61432,"Financials","Mayfield Village","Ohio","no","yes","yes","$121134.1MM","https://www.progressive.com","PGR","$88690.8MM"
"63","IBM",63,"$61860MM","$7502MM",296600,"Technology","Armonk","New York","no","no","yes","$175061.6MM","https://www.ibm.com","IBM","$135241MM"
"64","Deere",64,"$61251MM","$10166MM",82956,"Industrials","Moline","Illinois","no","no","yes","$114332.9MM","https://www.deere.com","DE","$104087MM"
"65","Nvidia",65,"$60922MM","$29760MM",29600,"Technology","Santa Clara","California","yes","no","yes","$2258900MM","https://www.nvidia.com","NVDA","$65728MM"
"66","StoneX Group",66,"$60856.1MM","$238.5MM",4137,"Financials","New York","New York","no","no","yes","$2216.7MM","https://www.stonex.com","SNEX","$21938.7MM"
"67","Merck",67,"$60115MM","$365MM",71000,"Health Care","Rahway","New Jersey","no","no","yes","$334182.4MM","https://www.merck.com","MRK","$106675MM"
"68","ConocoPhillips",68,"$58574MM","$10957MM",9900,"Energy","Houston","Texas","no","no","yes","$149733.3MM","https://www.conocophillips.com","COP","$95924MM"
"69","Pfizer",69,"$58496MM","$2119MM",88000,"Health Care","New York","New York","no","no","yes","$157135.5MM","https://www.pfizer.com","PFE","$226501MM"
"70","Delta Air Lines",70,"$58048MM","$4609MM",103000,"Transportation","Atlanta","Georgia","no","no","yes","$30795.9MM","https://www.delta.com","DAL","$73644MM"
"71","TD Synnex",71,"$57555.4MM","$626.9MM",28000,"Wholesalers","Fremont","California","no","no","yes","$9856.6MM","https://www.tdsynnex.com","SNX","$29412.8MM"
"72","Publix Super Markets",72,"$57534MM","$4349MM",253000,"Food & Drug Stores","Lakeland","Florida","no","no","yes","$NAMM","https://www.publix.com","PFE","$34384MM"
"73","Allstate",73,"$57094MM","$-188MM",53200,"Financials","Northbrook","Illinois","no","no","no","$45513.3MM","https://www.allstate.com","ALL","$103362MM"
"74","Cisco Systems",74,"$56998MM","$12613MM",84900,"Technology","San Jose","California","no","no","yes","$202094.9MM","https://www.cisco.com","CSCO","$101852MM"
"75","Nationwide",75,"$54609.4MM","$-45.2MM",24118,"Financials","Columbus","Ohio","no","no","no","$NAMM","https://www.nationwide.com","","$290615MM"
"76","Charter Communications",76,"$54607MM","$4557MM",101100,"Telecommunications","Stamford","Connecticut","no","no","yes","$51316MM","https://www.charter.com","CHTR","$147193MM"
"77","AbbVie",77,"$54318MM","$4863MM",50000,"Health Care","North Chicago","Illinois","no","no","yes","$322434.8MM","https://www.abbvie.com","ABBV","$134711MM"
"78","New York Life Insurance",78,"$54317.2MM","$804.6MM",15384,"Financials","New York","New York","no","no","yes","$NAMM","https://www.newyorklife.com","","$408904.9MM"
"79","Intel",79,"$54228MM","$1689MM",124800,"Technology","Santa Clara","California","no","no","yes","$188026MM","https://www.intel.com","INTC","$191572MM"
"80","TJX",80,"$54217MM","$4474MM",349000,"Retailing","Framingham","Massachusetts","no","no","yes","$115586MM","https://www.tjx.com","TJX","$29747MM"
"81","Prudential Financial",81,"$53979MM","$2488MM",40366,"Financials","Newark","New Jersey","no","no","yes","$42191.2MM","https://www.prudential.com","PRU","$721123MM"
"82","HP",82,"$53718MM","$3263MM",58000,"Technology","Palo Alto","California","no","no","yes","$29569.7MM","https://www.hp.com","HPQ","$37004MM"
"83","United Airlines Holdings",83,"$53717MM","$2618MM",103300,"Transportation","Chicago","Illinois","no","no","yes","$15705.9MM","https://www.united.com","UAL","$71104MM"
"84","Performance Food Group",84,"$53354.7MM","$397.2MM",34825,"Wholesalers","Richmond","Virginia","no","no","yes","$11612.9MM","https://www.pfgc.com","PFGC","$12499MM"
"85","Tyson Foods",85,"$52881MM","$-648MM",139000,"Food, Beverages & Tobacco","Springdale","Arkansas","no","no","no","$20928.3MM","https://www.tysonfoods.com","TSN","$36251MM"
"86","American Airlines Group",86,"$52788MM","$822MM",132100,"Transportation","Fort Worth","Texas","no","no","yes","$10050.5MM","https://www.aa.com","AAL","$63058MM"
"87","Liberty Mutual Insurance Group",87,"$52612MM","$213MM",45000,"Financials","Boston","Massachusetts","no","no","yes","$NAMM","https://www.libertymutual.com","","$165208MM"
"88","Nike",88,"$51217MM","$5070MM",83700,"Apparel","Beaverton","Oregon","no","no","yes","$142391.2MM","https://investors.nike.com","NKE","$37531MM"
"89","Oracle",89,"$49954MM","$8503MM",164000,"Technology","Austin","Texas","no","yes","yes","$345240.8MM","https://www.oracle.com","ORCL","$134384MM"
"90","Enterprise Products Partners",90,"$49715MM","$5532MM",7500,"Energy","Houston","Texas","no","no","yes","$63269.4MM","https://www.enterpriseproducts.com","EPD","$70982MM"
"91","Capital One Financial",91,"$49484MM","$4887MM",51987,"Financials","McLean","Virginia","yes","no","yes","$56891.2MM","https://www.capitalone.com","COF","$478464MM"
"92","Plains GP Holdings",92,"$48712MM","$198MM",4200,"Energy","Houston","Texas","no","no","yes","$3597.5MM","https://www.plains.com","PAGP","$28597MM"
"93","World Kinect",93,"$47710.6MM","$52.9MM",5289,"Energy","Miami","Florida","no","no","yes","$1583MM","https://www.world-kinect.com","WKC","$7375.3MM"
"94","AIG",94,"$46802MM","$3643MM",25200,"Financials","New York","New York","no","no","yes","$53230.1MM","https://www.aig.com","AIG","$539306MM"
"95","Coca-Cola",95,"$45754MM","$10714MM",79100,"Food, Beverages & Tobacco","Atlanta","Georgia","no","no","yes","$263758.6MM","https://www.coca-colacompany.com","KO","$97703MM"
"96","TIAA",96,"$45734.8MM","$-1408.9MM",16023,"Financials","New York","New York","no","yes","no","$NAMM","https://www.tiaa.org","","$629369.9MM"
"97","CHS",97,"$45590MM","$1900.4MM",10609,"Food, Beverages & Tobacco","Inver Grove Heights","Minnesota","no","no","yes","$NAMM","https://www.chsinc.com","","$18957.4MM"
"98","Bristol-Myers Squibb",98,"$45006MM","$8025MM",34100,"Health Care","Princeton","New Jersey","no","no","yes","$109911.1MM","https://www.bms.com","BMY","$95159MM"
"99","Dow",99,"$44622MM","$589MM",35900,"Chemicals","Midland","Michigan","no","no","yes","$40740.3MM","https://www.dow.com","DOW","$57967MM"
"100","Best Buy",100,"$43452MM","$1241MM",85000,"Retailing","Richfield","Minnesota","no","yes","yes","$17667.7MM","https://www.investors.bestbuy.com","BBY","$14967MM"
"101","Thermo Fisher Scientific",101,"$42857MM","$5995MM",122000,"Technology","Waltham","Massachusetts","no","no","yes","$221622.5MM","https://www.thermofisher.com","TMO","$98726MM"
"102","Massachusetts Mutual Life Insurance",102,"$42641.4MM","$-771.6MM",11323,"Financials","Springfield","Massachusetts","no","no","no","$NAMM","https://www.massmutual.com","","$397895MM"
"103","USAA",103,"$42493.4MM","$1213.5MM",37376,"Financials","San Antonio","Texas","no","no","yes","$NAMM","https://www.usaa.com","","$211637.6MM"
"104","General Dynamics",104,"$42272MM","$3315MM",111600,"Aerospace & Defense","Reston","Virginia","no","yes","yes","$77506.3MM","https://www.gd.com","GD","$54810MM"
"105","Travelers",105,"$41364MM","$2991MM",33133,"Financials","New York","New York","no","no","yes","$52731MM","https://www.travelers.com","TRV","$125978MM"
"106","Warner Bros. Discovery",106,"$41321MM","$-3126MM",35300,"Media","New York","New York","no","no","no","$21298.5MM","https://wbd.com","WBD","$122757MM"
"107","U.S. Bancorp",107,"$40624MM","$5429MM",75465,"Financials","Minneapolis","Minnesota","no","no","yes","$69656.5MM","https://www.usbank.com","USB","$663491MM"
"108","Abbott Laboratories",108,"$40109MM","$5723MM",114000,"Health Care","Abbott Park","Illinois","no","no","yes","$197221MM","https://www.abbott.com","ABT","$73214MM"
"109","Northrop Grumman",109,"$39290MM","$2056MM",101000,"Aerospace & Defense","Falls Church","Virginia","no","yes","yes","$70908.8MM","https://www.northropgrumman.com","NOC","$46544MM"
"110","Northwestern Mutual",110,"$38788.1MM","$711.4MM",8239,"Financials","Milwaukee","Wisconsin","no","no","yes","$NAMM","https://www.northwesternmutual.com","","$358828.6MM"
"111","Dollar General",111,"$38691.6MM","$1661.3MM",185800,"Retailing","Goodlettsville","Tennessee","no","no","yes","$34281.9MM","https://www.dollargeneral.com","DG","$30795.6MM"
"112","PBF Energy",112,"$38324.8MM","$2140.5MM",3776,"Energy","Parsippany","New Jersey","no","no","yes","$6860.3MM","https://www.pbfenergy.com","PBF","$14387.8MM"
"113","Uber Technologies",113,"$37281MM","$1887MM",30400,"Technology","San Francisco","California","no","no","yes","$160258.1MM","https://www.uber.com","UBER","$38699MM"
"114","Honeywell International",114,"$36662MM","$5658MM",95000,"Industrials","Charlotte","North Carolina","no","no","yes","$133860.3MM","https://www.honeywell.com","HON","$61525MM"
"115","Mondelez International",115,"$36016MM","$4959MM",91000,"Food, Beverages & Tobacco","Chicago","Illinois","no","no","yes","$94253.4MM","https://www.mondelezinternational.com","MDLZ","$71391MM"
"116","Starbucks",116,"$35975.6MM","$4124.5MM",381000,"Hotels, Restaurants & Leisure","Seattle","Washington","no","no","yes","$103471.8MM","https://www.starbucks.com","SBUX","$29445.5MM"
"117","Qualcomm",117,"$35820MM","$7232MM",50000,"Technology","San Diego","California","no","no","yes","$188938.8MM","https://www.qualcomm.com","QCOM","$51040MM"
"118","Broadcom",118,"$35819MM","$14082MM",20000,"Technology","Palo Alto","California","no","no","yes","$614223.1MM","https://www.broadcom.com","AVGO","$72861MM"
"119","US Foods Holding",119,"$35597MM","$506MM",30000,"Wholesalers","Rosemont","Illinois","no","no","yes","$13217.4MM","https://www.usfoods.com","USFD","$13187MM"
"120","D.R. Horton",120,"$35460.4MM","$4745.7MM",13450,"Engineering & Construction","Arlington","Texas","no","no","yes","$54600.5MM","https://www.drhorton.com","DHI","$32582.4MM"
"121","Philip Morris International",121,"$35174MM","$7813MM",82700,"Food, Beverages & Tobacco","Stamford","Connecticut","no","no","yes","$142428MM","https://www.pmi.com","PM","$65304MM"
"122","Paccar",122,"$35127.4MM","$4600.8MM",32400,"Motor Vehicles & Parts","Bellevue","Washington","no","no","yes","$64919.7MM","https://www.paccar.com","PCAR","$40823.4MM"
"123","Salesforce",123,"$34857MM","$4136MM",72682,"Technology","San Francisco","California","yes","no","yes","$292144.6MM","https://www.salesforce.com","CRM","$99823MM"
"124","Nucor",124,"$34713.5MM","$4524.8MM",32000,"Materials","Charlotte","North Carolina","no","no","yes","$47492MM","https://www.nucor.com","NUE","$35340.5MM"
"125","Jabil",125,"$34702MM","$818MM",236000,"Technology","St. Petersburg","Florida","no","no","yes","$17084.7MM","https://www.jabil.com","JBL","$19424MM"
"126","Lennar",126,"$34233.4MM","$3938.5MM",12284,"Engineering & Construction","Miami","Florida","no","no","yes","$47374.8MM","https://www.lennar.com","LEN","$39234.3MM"
"127","Eli Lilly",127,"$34124.1MM","$5240.4MM",43000,"Health Care","Indianapolis","Indiana","no","no","yes","$739658MM","https://www.lilly.com","LLY","$64006.3MM"
"128","Molina Healthcare",128,"$34072MM","$1091MM",18000,"Health Care","Long Beach","California","no","no","yes","$24068MM","https://www.molinahealthcare.com","MOH","$14892MM"
"129","Cummins",129,"$34065MM","$735MM",75500,"Industrials","Columbus","Indiana","no","yes","yes","$41798.1MM","https://www.cummins.com","CMI","$32005MM"
"130","Bank of New York Mellon",130,"$33805MM","$3286MM",53400,"Financials","New York","New York","no","no","yes","$43380.4MM","https://www.bnymellon.com","BK","$409953MM"
"131","Netflix",131,"$33723.3MM","$5408MM",13000,"Media","Los Gatos","California","no","no","yes","$262827.9MM","https://www.netflix.com","NFLX","$48732MM"
"132","Truist Financial",132,"$33246MM","$-1091MM",49935,"Financials","Charlotte","North Carolina","no","no","no","$52022.4MM","https://www.truist.com","TFC","$535349MM"
"133","Arrow Electronics",133,"$33107.1MM","$903.5MM",22100,"Wholesalers","Centennial","Colorado","no","no","yes","$6988.1MM","https://www.arrow.com","ARW","$21726.2MM"
"134","3M",134,"$32681MM","$-6995MM",85000,"Chemicals","St. Paul","Minnesota","no","no","no","$58695MM","https://www.3m.com","MMM","$50580MM"
"135","Visa",135,"$32653MM","$17273MM",28800,"Business Services","San Francisco","California","no","no","yes","$560847.5MM","https://www.visa.com","V","$90499MM"
"136","Apollo Global Management",136,"$32644MM","$5047MM",6855,"Financials","New York","New York","yes","no","yes","$63889.7MM","https://www.apollo.com","APO","$313488MM"
"137","HF Sinclair",137,"$31964.4MM","$1589.7MM",5218,"Energy","Dallas","Texas","no","no","yes","$11987.6MM","https://www.hfsinclair.com","DINO","$17716.3MM"
"138","CBRE Group",138,"$31949MM","$986MM",130000,"Financials","Dallas","Texas","no","no","yes","$29725.9MM","https://www.cbre.com","CBRE","$22548MM"
"139","PNC Financial Services Group",139,"$31882MM","$5578MM",55612,"Financials","Pittsburgh","Pennsylvania","no","no","yes","$64291.8MM","https://www.pnc.com","PNC","$561580MM"
"140","Lithia Motors",140,"$31310.9MM","$1000.8MM",25051,"Retailing","Medford","Oregon","no","no","yes","$8283MM","https://investors.lithiadriveway.com","LAD","$19632.5MM"
"141","CarMax",141,"$31126.4MM","$484.8MM",30621,"Retailing","Richmond","Virginia","no","no","yes","$13756.5MM","https://www.carmax.com","KMX","$26182.7MM"
"142","Paramount Global",142,"$30610MM","$-608MM",24150,"Media","New York","New York","no","no","no","$8099MM","https://www.paramount.com","PARA","$53543MM"
"143","Dollar Tree",143,"$30603.8MM","$-998.4MM",138860,"Retailing","Chesapeake","Virginia","no","no","no","$29024.4MM","https://www.dollartree.com","DLTR","$22023.5MM"
"144","United Natural Foods",144,"$30272MM","$24MM",29455,"Wholesalers","Providence","Rhode Island","no","no","yes","$682.9MM","https://www.unfi.com","UNFI","$7394MM"
"145","PayPal Holdings",145,"$29771MM","$4246MM",27200,"Business Services","San Jose","California","no","no","yes","$71796MM","https://www.paypal.com","PYPL","$82166MM"
"146","Penske Automotive Group",146,"$29527.4MM","$1053.2MM",28000,"Retailing","Bloomfield Hills","Michigan","no","no","yes","$10861MM","https://www.penskeautomotive.com","PAG","$15671.5MM"
"147","Hewlett Packard Enterprise",147,"$29135MM","$2025MM",62000,"Technology","Spring","Texas","no","no","yes","$23049MM","https://www.hpe.com","HPE","$57153MM"
"148","Duke Energy",148,"$28932MM","$2841MM",27037,"Energy","Charlotte","North Carolina","no","yes","yes","$74607.9MM","https://www.duke-energy.com","DUK","$176893MM"
"149","Occidental Petroleum",149,"$28918MM","$4696MM",12570,"Energy","Houston","Texas","no","yes","yes","$57611.3MM","https://www.oxy.com","OXY","$74008MM"
"150","NRG Energy",150,"$28823MM","$-202MM",18131,"Energy","Houston","Texas","no","no","no","$14535.4MM","https://www.nrg.com","NRG","$26038MM"
"151","Amgen",151,"$28190MM","$6717MM",26700,"Health Care","Thousand Oaks","California","no","no","yes","$152372.5MM","https://www.amgen.com","AMGN","$97154MM"
"152","NextEra Energy",152,"$28114MM","$7310MM",16800,"Energy","Juno Beach","Florida","no","no","yes","$131170.7MM","https://www.nexteraenergy.com","NEE","$177489MM"
"153","Danaher",153,"$27602MM","$4764MM",62000,"Health Care","Washington","District Of Columbia","no","no","yes","$184928.7MM","https://www.danaher.com","DHR","$84488MM"
"154","Gilead Sciences",154,"$27116MM","$5665MM",18000,"Health Care","Foster City","California","no","no","yes","$91340.5MM","https://www.gilead.com","GILD","$62125MM"
"155","AutoNation",155,"$26948.9MM","$1021.1MM",25300,"Retailing","Fort Lauderdale","Florida","no","no","yes","$6902.1MM","https://www.autonation.com","AN","$11980MM"
"156","Kraft Heinz",156,"$26640MM","$2855MM",36000,"Food, Beverages & Tobacco","Chicago","Illinois","no","no","yes","$44857MM","https://www.kraftheinzcompany.com","KHC","$90339MM"
"157","Avnet",157,"$26536.9MM","$770.8MM",15800,"Wholesalers","Phoenix","Arizona","no","no","yes","$4480.2MM","https://www.avnet.com","AVT","$12477.2MM"
"158","Applied Materials",158,"$26517MM","$6856MM",34000,"Technology","Santa Clara","California","no","no","yes","$171356MM","https://www.appliedmaterials.com","AMAT","$30729MM"
"159","Southwest Airlines",159,"$26091MM","$465MM",74806,"Transportation","Dallas","Texas","no","no","yes","$17416.6MM","https://www.southwest.com","LUV","$36487MM"
"160","Charles Schwab",160,"$25521MM","$5067MM",33000,"Financials","Westlake","Texas","no","no","yes","$131974.9MM","https://www.aboutschwab.com","SCHW","$493178MM"
"161","Baker Hughes",161,"$25506MM","$1943MM",58000,"Energy","Houston","Texas","no","no","yes","$33529.5MM","https://www.bakerhughes.com","BKR","$36945MM"
"162","McDonald's",162,"$25493.7MM","$8468.8MM",150000,"Hotels, Restaurants & Leisure","Chicago","Illinois","no","no","yes","$203582.4MM","https://www.investor.mcdonalds.com","MCD","$56146.8MM"
"163","Southern Company",163,"$25253MM","$3976MM",27960,"Energy","Atlanta","Georgia","no","no","yes","$78269.4MM","https://www.southerncompany.com","SO","$139331MM"
"164","Mastercard",164,"$25098MM","$11195MM",33400,"Business Services","Purchase","New York","no","no","yes","$449252.6MM","https://www.mastercard.com","MA","$42448MM"
"165","Constellation Energy",165,"$24918MM","$1623MM",13842,"Energy","Baltimore","Maryland","no","no","yes","$58250.1MM","https://www.constellationenergy.com","CEG","$50758MM"
"166","Hartford Financial Services Group",166,"$24527MM","$2504MM",18700,"Financials","Hartford","Connecticut","no","no","yes","$30636.6MM","https://www.thehartford.com","HIG","$76780MM"
"167","PG&E",167,"$24428MM","$2242MM",28010,"Energy","Oakland","California","no","yes","yes","$35759.5MM","https://www.pgecorp.com","PCG","$125698MM"
"168","Coupang",168,"$24383MM","$1360MM",78000,"Retailing","Seattle","Washington","yes","no","yes","$31903.1MM","https://www.aboutcoupang.com","CPNG","$13346MM"
"169","EOG Resources",169,"$24186MM","$7594MM",3050,"Energy","Houston","Texas","no","no","yes","$73535.6MM","https://www.eogresources.com","EOG","$43857MM"
